complexity,loss,equation,score,sympy_format,lambda_format
1,0.0009878711,0.9999663,0.0,0.999966300000000,PySRFunction(X=>0.999966300000000)
5,0.0005011274,(mod210 * -0.00032728896) + 1.0362955,0.16967296586850003,1.0362955 + mod210*(-0.00032728896),PySRFunction(X=>1.0362955 + mod210*(-0.00032728896))
7,0.00040735572,1.0335689 - ((mod210 * 0.00016155039) * dist_7),0.10358677576937131,1.0335689 - 0.00016155039*dist_7*mod210,PySRFunction(X=>1.0335689 - 0.00016155039*dist_7*mod210)
8,0.0003253037,1.0430977 - (mod210 * (sqrt(dist_13) * 0.0002190989)),0.2249276011058841,-0.0002190989*sqrt(dist_13)*mod210 + 1.0430977,PySRFunction(X=>-0.0002190989*sqrt(dist_13)*mod210 + 1.0430977)
9,0.000310053,(((0.0003952863 / dist_13) + -0.0005500533) * mod210) + 1.0431839,0.04801595692301279,mod210*(-0.0005500533 + 0.0003952863/dist_13) + 1.0431839,PySRFunction(X=>mod210*(-0.0005500533 + 0.0003952863/dist_13) + 1.0431839)
10,0.00029665386,1.0289725 - ((dist_13 * square(mod210 / 2416.9568)) / 0.31027737),0.04417724602084684,1.0289725 - dist_13*1.71183627034328e-7*mod210**2/0.31027737,PySRFunction(X=>1.0289725 - dist_13*1.71183627034328e-7*mod210**2/0.31027737)
11,0.00025738805,1.0211205 - ((dist_17 * (-0.1292802 / isolation)) + (mod210 / 2400.4531)),0.1419811362990719,1.0211205 - (dist_17*(-0.1292802)/isolation + mod210/2400.4531),PySRFunction(X=>1.0211205 - (dist_17*(-0.1292802)/isolation + mod210/2400.4531))
