complexity,loss,equation,score,sympy_format,lambda_format
1,0.89945126,1.0014294,0.0,1.00142940000000,PySRFunction(X=>1.00142940000000)
5,0.8989436,(mod210 / -2863.1086) + 1.0398216,0.00014114253348240286,mod210/(-2863.1086) + 1.0398216,PySRFunction(X=>mod210/(-2863.1086) + 1.0398216)
7,0.89870846,(mod210 / (mod2310 + -4114.054)) + 1.0431347,0.00013080395621219032,mod210/(mod2310 - 4114.054) + 1.0431347,PySRFunction(X=>mod210/(mod2310 - 4114.054) + 1.0431347)
9,0.8987072,(mod210 / (mod2310 + (-4115.0977 + log_p))) + 1.0432855,7.010064661224011e-07,mod210/(log_p + mod2310 - 4115.0977) + 1.0432855,PySRFunction(X=>mod210/(log_p + mod2310 - 4115.0977) + 1.0432855)
10,0.898703,sqrt((mod210 / (mod2310 + (mod210 + -3416.9485))) + 1.0623524),4.6733906372636795e-06,sqrt(mod210/(mod210 + mod2310 - 3416.9485) + 1.0623524),PySRFunction(X=>sqrt(mod210/(mod210 + mod2310 - 3416.9485) + 1.0623524))
