mod210,count,expected_hl,hl_ratio,range
11,109734143,109746066.80915613,0.9998913509203308,"[1e11,1e12)"
17,109755032,109746066.80915613,1.0000816903156944,"[1e11,1e12)"
29,109746116,109746066.80915613,1.000000448224208,"[1e11,1e12)"
41,109759195,109746066.80915613,1.000119623337998,"[1e11,1e12)"
59,109745734,109746066.80915613,0.999996967461652,"[1e11,1e12)"
71,109739972,109746066.80915613,0.9999444644411108,"[1e11,1e12)"
101,109748355,109746066.80915613,1.0000208498665182,"[1e11,1e12)"
107,109753650,109746066.80915613,1.0000690976092752,"[1e11,1e12)"
137,109753801,109746066.80915613,1.0000704735127985,"[1e11,1e12)"
149,109742213,109746066.80915613,0.9999648843073088,"[1e11,1e12)"
167,109754812,109746066.80915613,1.0000796856880445,"[1e11,1e12)"
179,109737386,109746066.80915613,0.99992090095428,"[1e11,1e12)"
191,109744800,109746066.80915613,0.9999884569060836,"[1e11,1e12)"
197,109749903,109746066.80915613,1.000034955155619,"[1e11,1e12)"
209,109744060,109746066.80915613,0.9999817140676246,"[1e11,1e12)"
