mod210,count,expected_hl,hl_ratio
11,198823,198996.02410104722,0.9991305147837558
17,199003,198996.02410104722,1.0000350554689938
29,199212,198996.02410104722,1.0010853277090759
41,198790,198996.02410104722,0.9989646823247955
59,198994,198996.02410104722,0.9999898284347319
71,199050,198996.02410104722,1.0002712410923615
101,198920,198996.02410104722,0.9996179617085785
107,199106,198996.02410104722,1.0005526537499911
137,198834,198996.02410104722,0.999185792270076
149,198830,198996.02410104722,0.9991656913659596
167,198899,198996.02410104722,0.9995124319619675
179,198824,198996.02410104722,0.999135540009785
191,198793,198996.02410104722,0.9989797580028829
197,199333,198996.02410104722,1.001693380058597
209,198783,198996.02410104722,0.9989295057425919
