mod210,count,expected_hl,hl_ratio,range
11,1599139,1599073.8917690332,1.000040716211616,"[1e9,1e10)"
17,1599473,1599073.8917690332,1.0002495871097772,"[1e9,1e10)"
29,1599022,1599073.8917690332,0.9999675488610624,"[1e9,1e10)"
41,1598950,1599073.8917690332,0.9999225227991834,"[1e9,1e10)"
59,1599753,1599073.8917690332,1.000424688461529,"[1e9,1e10)"
71,1599916,1599073.8917690332,1.0005266224627276,"[1e9,1e10)"
101,1598362,1599073.8917690332,0.9995548099605043,"[1e9,1e10)"
107,1599426,1599073.8917690332,1.0002201950971616,"[1e9,1e10)"
137,1599785,1599073.8917690332,1.0004447000445866,"[1e9,1e10)"
149,1598279,1599073.8917690332,0.9995029049169493,"[1e9,1e10)"
167,1598794,1599073.8917690332,0.9998249663317788,"[1e9,1e10)"
179,1599384,1599073.8917690332,1.000193929894399,"[1e9,1e10)"
191,1599494,1599073.8917690332,1.0002627197111587,"[1e9,1e10)"
197,1598409,1599073.8917690332,0.9995842019731198,"[1e9,1e10)"
209,1599987,1599073.8917690332,1.0005710231626361,"[1e9,1e10)"
