complexity,loss,equation,score,sympy_format,lambda_format
1,0.0009878711,0.9999665,0.0,0.999966500000000,PySRFunction(X=>0.999966500000000)
5,0.0005011274,(mod210 * -0.00032728896) - -1.0362955,0.16967296586850003,mod210*(-0.00032728896) - 1*(-1.0362955),PySRFunction(X=>mod210*(-0.00032728896) - 1*(-1.0362955))
7,0.00041507604,1.0298684 - ((mod210 - mod70_r) * 0.00040046714),0.09419931390672735,1.0298684 - 0.00040046714*(mod210 - mod70_r),PySRFunction(X=>1.0298684 - 0.00040046714*(mod210 - mod70_r))
9,0.00032732883,1.0373654 - ((mod210 - (mod70_r / dist_7)) * 0.0004256876),0.11874823520387451,1.0373654 - 0.0004256876*(mod210 - mod70_r/dist_7),PySRFunction(X=>1.0373654 - 0.0004256876*(mod210 - mod70_r/dist_7))
10,0.00028700556,1.0323023 - (((sqrt(dist_7) * mod210) - mod70_r) * 0.00032999087),0.13146367355997446,-0.00032999087*sqrt(dist_7)*mod210 + 0.00032999087*mod70_r + 1.0323023,PySRFunction(X=>-0.00032999087*sqrt(dist_7)*mod210 + 0.00032999087*mod70_r + 1.0323023)
11,0.00023452046,(1.0286833 - (mod210 * 0.00046384882)) - ((mod70_r / dist_7) * -0.0009837686),0.20195875484699835,-0.00046384882*mod210 + 1.0286833 - (-0.0009837686)*mod70_r/dist_7,PySRFunction(X=>-0.00046384882*mod210 + 1.0286833 - (-0.0009837686)*mod70_r/dist_7)
