mod210,mean_hl_ratio,diagonal_rate,anti_persistence
149,0.954661988643972,0.045031702283353126,0.01379182712841158
167,0.9566188732358594,0.045633852148595694,0.013189677263169011
179,0.9618735209643346,0.0464122271124833,0.012411302299281404
137,0.9624018774856112,0.04383661337062741,0.014986916041137298
191,0.9668569349743468,0.04602633332164522,0.012797196090119485
101,0.9896017857514304,0.045009484673381145,0.01381404473838356
197,0.9953862890208492,0.04717368872098921,0.011649840690775494
209,1.0098934662368138,0.04723874182060593,0.011584787591158774
11,1.0141142610333038,0.0465379155640455,0.012285613847719208
17,1.0176967901142824,0.04467331380353726,0.014150215608227448
107,1.0228440605733455,0.045509039676566845,0.01331448973519786
71,1.0275399639847802,0.04451595954288717,0.014307569868877539
59,1.035092738316178,0.04442417811762849,0.014399351294136213
41,1.0370629778511442,0.045300550040540837,0.013522979371223869
29,1.0478515936331154,0.04711828803991073,0.011705241371853976
