mod2310,xmax,n_gaps,mean_gap,rho_bar,se_rho_bar
1931,1e+07,440,171.6818,1.012548,0.037452
1949,1e+07,453,180.5033,1.064576,0.042525
1961,1e+07,463,184.6782,1.089198,0.040579
1997,1e+07,421,165.4632,0.975872,0.037975
2027,1e+07,424,150.0566,0.885006,0.038496
2039,1e+07,455,160.2198,0.944947,0.040041
2069,1e+07,418,142.5502,0.840735,0.039398
2081,1e+07,442,153.2579,0.903887,0.039021
2087,1e+07,385,151.9636,0.896254,0.044481
2111,1e+07,453,144.9272,0.854754,0.041877
2117,1e+07,442,163.8054,0.966094,0.041341
2129,1e+07,430,165.6279,0.976843,0.045778
2141,1e+07,473,163.9915,0.967192,0.037267
2159,1e+07,404,159.5941,0.941257,0.041640
2171,1e+07,435,170.3034,1.004419,0.041620
2201,1e+07,434,149.2949,0.880514,0.042311
2207,1e+07,425,167.8588,0.990001,0.041661
2237,1e+07,418,147.6172,0.870619,0.042417
2249,1e+07,439,158.8155,0.936665,0.042983
2267,1e+07,450,162.1733,0.956469,0.045881
2279,1e+07,440,143.1682,0.844380,0.038232
2291,1e+07,448,157.8884,0.931197,0.042719
2309,1e+07,422,144.8673,0.854401,0.035505
17,1e+08,3325,214.4968,0.944411,0.016236
29,1e+08,3267,220.0073,0.968674,0.016684
41,1e+08,3272,224.1601,0.986958,0.016249
59,1e+08,3257,219.2091,0.965159,0.016641
71,1e+08,3317,225.6847,0.993670,0.016688
101,1e+08,3244,216.4199,0.952878,0.017003
107,1e+08,3301,233.0821,1.026241,0.017471
137,1e+08,3237,214.1965,0.943089,0.017071
149,1e+08,3285,218.2795,0.961066,0.016411
167,1e+08,3344,212.6053,0.936083,0.015745
179,1e+08,3304,214.2548,0.943346,0.016173
191,1e+08,3265,222.5752,0.979980,0.017049
197,1e+08,3287,236.5573,1.041542,0.017126
221,1e+08,3252,223.7085,0.984969,0.015879
227,1e+08,3256,246.8606,1.086906,0.016989
239,1e+08,3290,245.4109,1.080524,0.016205
269,1e+08,3244,244.3224,1.075731,0.017600
281,1e+08,3257,237.0930,1.043900,0.016649
311,1e+08,3322,231.1915,1.017916,0.016651
347,1e+08,3260,216.9000,0.954992,0.017370
359,1e+08,3285,209.8210,0.923824,0.016080
377,1e+08,3280,205.4159,0.904429,0.016503
389,1e+08,3254,219.0018,0.964247,0.017570
401,1e+08,3211,214.1669,0.942959,0.016647
419,1e+08,3243,224.4033,0.988029,0.017393
431,1e+08,3282,229.3382,1.009757,0.017597
437,1e+08,3268,234.7491,1.033580,0.016544
461,1e+08,3167,228.2103,1.004791,0.017042
479,1e+08,3225,228.9842,1.008198,0.018047
491,1e+08,3258,227.3554,1.001027,0.016824
521,1e+08,3248,218.0893,0.960229,0.017239
527,1e+08,3262,230.3728,1.014312,0.017302
557,1e+08,3317,220.7175,0.971800,0.017410
569,1e+08,3237,217.0510,0.955657,0.016898
587,1e+08,3235,219.5221,0.966537,0.017945
599,1e+08,3357,232.8829,1.025364,0.017645
611,1e+08,3265,236.4129,1.040906,0.017758
617,1e+08,3280,241.2805,1.062338,0.017323
629,1e+08,3221,254.1329,1.118925,0.017946
641,1e+08,3283,261.3829,1.150847,0.018049
659,1e+08,3232,261.0316,1.149300,0.017129
689,1e+08,3323,248.8023,1.095455,0.016887
701,1e+08,3235,262.3308,1.155020,0.017640
731,1e+08,3206,240.1984,1.057573,0.017262
767,1e+08,3168,223.4830,0.983976,0.017392
797,1e+08,3331,207.8979,0.915357,0.016839
809,1e+08,3264,221.3015,0.974372,0.017683
821,1e+08,3233,214.5803,0.944779,0.016753
827,1e+08,3294,238.7796,1.051326,0.017269
839,1e+08,3238,247.3453,1.089040,0.018070
851,1e+08,3254,241.6798,1.064096,0.017093
857,1e+08,3233,253.8262,1.117575,0.016607
881,1e+08,3287,245.7956,1.082217,0.015878
899,1e+08,3213,249.2586,1.097465,0.016798
941,1e+08,3267,220.0496,0.968860,0.016051
947,1e+08,3252,239.0443,1.052492,0.016795
989,1e+08,3307,214.1476,0.942874,0.017333
1007,1e+08,3246,216.4880,0.953178,0.017023
1019,1e+08,3229,220.1344,0.969233,0.017343
1031,1e+08,3282,222.3620,0.979041,0.016889
1037,1e+08,3280,238.3079,1.049250,0.018096
1049,1e+08,3254,244.8549,1.078076,0.017326
1061,1e+08,3229,245.6971,1.081784,0.016862
1079,1e+08,3252,246.2694,1.084303,0.017178
1091,1e+08,3270,255.2367,1.123786,0.017381
1121,1e+08,3254,247.1137,1.088021,0.017099
1151,1e+08,3230,220.4341,0.970552,0.016278
1157,1e+08,3278,240.2142,1.057643,0.016731
1187,1e+08,3253,220.5171,0.970918,0.015867
1217,1e+08,3263,213.0837,0.938189,0.016413
1229,1e+08,3324,221.4513,0.975031,0.016539
1247,1e+08,3218,226.3667,0.996673,0.017249
1259,1e+08,3234,224.3970,0.988001,0.017166
1271,1e+08,3297,227.7143,1.002607,0.016422
1277,1e+08,3241,239.8278,1.055942,0.017073
1289,1e+08,3284,250.1456,1.101370,0.016855
1301,1e+08,3290,257.8669,1.135366,0.016659
1319,1e+08,3223,253.7164,1.117092,0.016215
1361,1e+08,3264,239.6507,1.055162,0.016659
1367,1e+08,3241,242.7269,1.068706,0.016823
1409,1e+08,3265,216.4116,0.952842,0.016573
1427,1e+08,3257,223.7335,0.985080,0.017101
1451,1e+08,3307,206.4403,0.908939,0.016345
1457,1e+08,3323,218.1559,0.960522,0.016545
1469,1e+08,3284,233.1084,1.026357,0.017050
1481,1e+08,3262,229.4862,1.010408,0.016124
1487,1e+08,3276,249.8059,1.099874,0.016755
1499,1e+08,3320,247.2253,1.088512,0.016226
1511,1e+08,3258,257.1271,1.132109,0.016638
1541,1e+08,3301,237.1936,1.044343,0.015695
1577,1e+08,3330,231.8631,1.020873,0.016203
1607,1e+08,3259,209.1660,0.920940,0.015691
1619,1e+08,3212,214.9875,0.946572,0.015889
1649,1e+08,3252,202.6421,0.892216,0.015536
1667,1e+08,3218,202.9316,0.893491,0.015909
1679,1e+08,3235,207.7688,0.914788,0.015963
1691,1e+08,3287,205.4274,0.904480,0.015600
1697,1e+08,3279,221.4584,0.975062,0.016662
1709,1e+08,3206,231.6962,1.020139,0.017163
1721,1e+08,3260,229.3307,1.009723,0.015971
1739,1e+08,3219,225.7596,0.994000,0.016328
1751,1e+08,3222,227.3091,1.000823,0.016538
1781,1e+08,3295,220.7436,0.971915,0.016135
1787,1e+08,3308,226.6542,0.997939,0.016044
1817,1e+08,3249,220.5115,0.970894,0.016509
1829,1e+08,3234,221.5473,0.975454,0.016386
1847,1e+08,3254,219.6583,0.967137,0.016498
1871,1e+08,3241,204.8460,0.901920,0.016022
1877,1e+08,3206,223.2183,0.982811,0.016093
1889,1e+08,3265,227.5332,1.001810,0.016765
1907,1e+08,3237,224.0556,0.986498,0.015670
1919,1e+08,3195,235.3070,1.036037,0.016813
1931,1e+08,3303,234.7430,1.033553,0.015852
1949,1e+08,3218,240.0075,1.056732,0.016672
1961,1e+08,3293,239.0890,1.052688,0.015981
1997,1e+08,3222,228.0112,1.003914,0.016369
2027,1e+08,3255,214.3797,0.943896,0.016522
2039,1e+08,3308,211.8011,0.932542,0.015395
2069,1e+08,3262,202.3556,0.890955,0.016186
2081,1e+08,3248,203.7986,0.897308,0.016435
2087,1e+08,3269,215.5154,0.948896,0.016239
2111,1e+08,3274,202.7373,0.892635,0.015895
2117,1e+08,3251,214.6933,0.945276,0.015847
2129,1e+08,3252,222.2934,0.978739,0.016791
2141,1e+08,3268,221.0453,0.973244,0.015303
2159,1e+08,3158,220.1552,0.969324,0.015779
2171,1e+08,3203,224.0699,0.986561,0.016724
2201,1e+08,3268,211.1438,0.929648,0.016412
2207,1e+08,3248,221.9021,0.977016,0.016111
2237,1e+08,3265,202.2340,0.890419,0.015764
2249,1e+08,3254,214.0953,0.942643,0.016366
2267,1e+08,3297,211.0610,0.929284,0.017143
2279,1e+08,3276,209.9908,0.924572,0.016024
2291,1e+08,3309,212.9538,0.937617,0.015789
2309,1e+08,3255,215.8894,0.950543,0.016215
17,1e+09,25354,281.0115,0.962363,0.006072
29,1e+09,25473,288.4329,0.987779,0.006092
41,1e+09,25373,286.8749,0.982443,0.005953
59,1e+09,25242,291.7516,0.999144,0.006155
71,1e+09,25457,291.1915,0.997226,0.005978
101,1e+09,25349,271.9878,0.931460,0.005853
107,1e+09,25539,297.4566,1.018681,0.006182
137,1e+09,25247,278.3948,0.953402,0.006116
149,1e+09,25252,280.6371,0.961081,0.006087
167,1e+09,25423,278.1087,0.952422,0.005995
179,1e+09,25371,287.9499,0.986124,0.006209
191,1e+09,25336,289.3740,0.991001,0.006159
197,1e+09,25509,300.6278,1.029542,0.006127
221,1e+09,25262,294.7686,1.009476,0.006145
227,1e+09,25479,308.6622,1.057057,0.006051
239,1e+09,25411,317.3762,1.086899,0.006024
269,1e+09,25331,304.0373,1.041218,0.006156
281,1e+09,25135,303.2135,1.038397,0.005995
311,1e+09,25431,297.8153,1.019910,0.006130
347,1e+09,25236,277.1783,0.949236,0.006102
359,1e+09,25342,273.8564,0.937859,0.005975
377,1e+09,25465,274.9671,0.941663,0.006130
389,1e+09,25327,283.1324,0.969626,0.006169
401,1e+09,25331,282.7523,0.968324,0.006139
419,1e+09,25195,287.2839,0.983844,0.006199
431,1e+09,25416,291.4112,0.997978,0.006236
437,1e+09,25283,298.4876,1.022212,0.006081
461,1e+09,25330,292.9075,1.003103,0.006028
479,1e+09,25358,295.4329,1.011751,0.006303
491,1e+09,25324,295.3735,1.011547,0.006199
521,1e+09,25235,282.5200,0.967529,0.006226
527,1e+09,25434,297.4109,1.018525,0.006272
557,1e+09,25491,287.8162,0.985666,0.006262
569,1e+09,25488,293.3762,1.004707,0.006269
587,1e+09,25322,289.5987,0.991771,0.006360
599,1e+09,25556,299.5053,1.025698,0.006279
611,1e+09,25375,300.8155,1.030185,0.006346
617,1e+09,25463,307.9398,1.054582,0.006153
629,1e+09,25529,319.0673,1.092690,0.006262
641,1e+09,25424,323.9670,1.109470,0.006288
659,1e+09,25472,330.6888,1.132490,0.006181
689,1e+09,25468,312.8625,1.071441,0.006086
701,1e+09,25390,322.8697,1.105712,0.006192
731,1e+09,25420,308.8239,1.057610,0.006231
767,1e+09,25394,298.9868,1.023922,0.006336
797,1e+09,25318,278.6130,0.954149,0.006238
809,1e+09,25339,286.7912,0.982156,0.006217
821,1e+09,25345,287.2058,0.983576,0.006204
827,1e+09,25363,300.2233,1.028156,0.006227
