mod2310,n_gaps,mean_gap,rho_bar,se_rho_bar
17,25354,281.0115,0.962363,0.006072
29,25473,288.4329,0.987779,0.006092
41,25373,286.8749,0.982443,0.005953
59,25242,291.7516,0.999144,0.006155
71,25457,291.1915,0.997226,0.005978
101,25349,271.9878,0.931460,0.005853
107,25539,297.4566,1.018681,0.006182
137,25247,278.3948,0.953402,0.006116
149,25252,280.6371,0.961081,0.006087
167,25423,278.1087,0.952422,0.005995
179,25371,287.9499,0.986124,0.006209
191,25336,289.3740,0.991001,0.006159
197,25509,300.6278,1.029542,0.006127
221,25262,294.7686,1.009476,0.006145
227,25479,308.6622,1.057057,0.006051
239,25411,317.3762,1.086899,0.006024
269,25331,304.0373,1.041218,0.006156
281,25135,303.2135,1.038397,0.005995
311,25431,297.8153,1.019910,0.006130
347,25236,277.1783,0.949236,0.006102
359,25342,273.8564,0.937859,0.005975
377,25465,274.9671,0.941663,0.006130
389,25327,283.1324,0.969626,0.006169
401,25331,282.7523,0.968324,0.006139
419,25195,287.2839,0.983844,0.006199
431,25416,291.4112,0.997978,0.006236
437,25283,298.4876,1.022212,0.006081
461,25330,292.9075,1.003103,0.006028
479,25358,295.4329,1.011751,0.006303
491,25324,295.3735,1.011547,0.006199
521,25235,282.5200,0.967529,0.006226
527,25434,297.4109,1.018525,0.006272
557,25491,287.8162,0.985666,0.006262
569,25488,293.3762,1.004707,0.006269
587,25322,289.5987,0.991771,0.006360
599,25556,299.5053,1.025698,0.006279
611,25375,300.8155,1.030185,0.006346
617,25463,307.9398,1.054582,0.006153
629,25529,319.0673,1.092690,0.006262
641,25424,323.9670,1.109470,0.006288
659,25472,330.6888,1.132490,0.006181
689,25468,312.8625,1.071441,0.006086
701,25390,322.8697,1.105712,0.006192
731,25420,308.8239,1.057610,0.006231
767,25394,298.9868,1.023922,0.006336
797,25318,278.6130,0.954149,0.006238
809,25339,286.7912,0.982156,0.006217
821,25345,287.2058,0.983576,0.006204
827,25363,300.2233,1.028156,0.006227
839,25487,307.0085,1.051393,0.006208
851,25411,311.1023,1.065413,0.006236
857,25349,322.8991,1.105813,0.006101
881,25343,315.1180,1.079165,0.006120
899,25310,322.4529,1.104285,0.006223
941,25349,291.6200,0.998693,0.006029
947,25496,302.9553,1.037512,0.006093
989,25307,279.9613,0.958766,0.006141
1007,25406,280.5100,0.960646,0.006097
1019,25386,287.0924,0.983188,0.006234
1031,25398,292.1120,1.000378,0.006147
1037,25542,297.9601,1.020406,0.006108
1049,25412,308.0563,1.054981,0.006167
1061,25301,313.7345,1.074427,0.006055
1079,25474,312.3729,1.069764,0.006085
1091,25284,318.2945,1.090044,0.006056
1121,25463,309.0435,1.058362,0.006098
1151,25306,291.8917,0.999624,0.006032
1157,25509,311.4894,1.066739,0.006122
1187,25357,292.5303,1.001811,0.006049
1217,25284,280.2321,0.959694,0.006024
1229,25360,285.9123,0.979146,0.006045
1247,25194,288.1138,0.986686,0.006063
1259,25146,291.7182,0.999029,0.006053
1271,25411,291.7304,0.999071,0.005949
1277,25417,306.4606,1.049517,0.006066
1289,25250,318.3362,1.090187,0.006185
1301,25435,319.6546,1.094701,0.005971
1319,25416,320.8954,1.098951,0.005951
1361,25224,299.7058,1.026384,0.005910
1367,25295,311.0011,1.065067,0.006033
1409,25414,275.3335,0.942918,0.005782
1427,25543,281.9688,0.965641,0.005909
1451,25395,274.8017,0.941096,0.005952
1457,25585,287.5502,0.984756,0.005982
1469,25327,295.5479,1.012145,0.005951
1481,25235,295.2642,1.011173,0.005869
1487,25511,308.3714,1.056061,0.005896
1499,25398,314.2710,1.076265,0.005866
1511,25326,317.7349,1.088127,0.005767
1541,25313,300.1922,1.028050,0.005733
1577,25422,289.4635,0.991308,0.005765
1607,25312,275.8587,0.944716,0.005856
1619,25340,274.3115,0.939418,0.005707
1649,25280,263.1764,0.901284,0.005817
1667,25432,267.3489,0.915574,0.005880
1679,25296,268.4080,0.919200,0.005772
1691,25385,274.0108,0.938388,0.005887
1697,25206,283.5365,0.971010,0.006047
1709,25353,290.8747,0.996141,0.005924
1721,25381,292.4594,1.001568,0.005818
1739,25271,289.0171,0.989779,0.005864
1751,25469,291.2960,0.997584,0.005848
1781,25459,281.1082,0.962694,0.005837
1787,25396,297.7090,1.019546,0.005970
1817,25347,278.5894,0.954068,0.005908
1829,25187,281.6748,0.964635,0.005859
1847,25322,280.2594,0.959787,0.005886
1871,25079,270.9632,0.927951,0.005863
1877,25280,288.2400,0.987118,0.005911
1889,25424,294.6643,1.009119,0.005913
1907,25305,287.4170,0.984299,0.005887
1919,25235,297.8634,1.020075,0.005890
1931,25236,296.7665,1.016318,0.005818
1949,25420,298.2496,1.021397,0.005844
1961,25419,299.9544,1.027236,0.005798
1997,25356,290.9846,0.996517,0.005921
2027,25423,270.0035,0.924665,0.005773
2039,25538,273.2058,0.935631,0.005762
2069,25290,260.3163,0.891489,0.005870
2081,25257,264.5088,0.905847,0.005867
2087,25340,277.4320,0.950105,0.005958
2111,25398,269.1694,0.921808,0.005876
2117,25465,277.0179,0.948686,0.005829
2129,25444,281.8984,0.965400,0.005901
2141,25457,283.4999,0.970885,0.005781
2159,25258,285.1240,0.976447,0.005965
2171,25420,285.3578,0.977248,0.005915
2201,25491,275.7905,0.944483,0.005901
2207,25101,288.4135,0.987712,0.005963
2237,25290,271.5575,0.929986,0.005986
2249,25349,278.3412,0.953218,0.006058
2267,25323,271.6467,0.930292,0.005962
2279,25437,275.6035,0.943842,0.005901
2291,25637,280.9440,0.962132,0.005932
